HJD,MAG,ERR,SRV
3122.92412,-0.05799999999999983,0.009,OGLE-III
3125.88464,-0.03399999999999892,0.009,OGLE-III
3127.82792,0.07900000000000063,0.011,OGLE-III
3128.83407,0.14700000000000202,0.009,OGLE-III
3130.71526,-0.05299999999999905,0.008,OGLE-III
3131.68181,0.13299999999999912,0.011,OGLE-III
3134.82925,0.0940000000000012,0.01,OGLE-III
3135.91339,0.14199999999999946,0.009,OGLE-III
3138.66768,-0.009999999999999787,0.008,OGLE-III
3139.89287,0.10900000000000176,0.01,OGLE-III
3140.89245,0.1440000000000019,0.01,OGLE-III
3142.78144,-0.0519999999999996,0.008,OGLE-III
3144.80154,0.13800000000000168,0.009,OGLE-III
3146.83062,-0.019999999999999574,0.008,OGLE-III
3151.7644,-0.08900000000000041,0.008,OGLE-III
3151.92037,0.1269999999999989,0.01,OGLE-III
3152.76933,-0.09199999999999875,0.008,OGLE-III
3153.77267,-0.02200000000000024,0.009,OGLE-III
3156.87776,0.1440000000000019,0.009,OGLE-III
3162.582,0.1479999999999997,0.012,OGLE-III
3163.76858,-0.1120000000000001,0.008,OGLE-III
3164.75083,0.07700000000000173,0.008,OGLE-III
3164.88384,-0.09600000000000009,0.01,OGLE-III
3165.72439,0.13400000000000034,0.008,OGLE-III
3167.61071,-0.013999999999999346,0.009,OGLE-III
3168.8726,0.08099999999999952,0.009,OGLE-III
3169.74055,0.002000000000000668,0.008,OGLE-III
3170.82548,-0.04800000000000004,0.008,OGLE-III
3171.79678,0.15399999999999991,0.007,OGLE-III
3172.76774,0.027999999999998693,0.008,OGLE-III
3173.86572,0.09499999999999886,0.009,OGLE-III
3174.72454,-0.06400000000000006,0.008,OGLE-III
3175.73326,0.13599999999999923,0.008,OGLE-III
3177.77376,0.13500000000000156,0.011,OGLE-III
3179.51852,0.03999999999999915,0.008,OGLE-III
3179.8978,0.08600000000000207,0.01,OGLE-III
3180.7356,0.030999999999998806,0.008,OGLE-III
3182.80023,0.15700000000000003,0.011,OGLE-III
3183.75518,0.0010000000000012221,0.008,OGLE-III
3184.71621,-0.11099999999999888,0.008,OGLE-III
3185.71976,-0.028999999999999915,0.008,OGLE-III
3193.55117,-0.057000000000000384,0.008,OGLE-III
3194.56283,0.06899999999999906,0.01,OGLE-III
3195.69437,-0.06299999999999883,0.008,OGLE-III
3195.81493,-0.014999999999998792,0.008,OGLE-III
3196.6158,0.1670000000000016,0.009,OGLE-III
3197.53874,-0.10099999999999909,0.008,OGLE-III
3197.844,-0.09600000000000009,0.008,OGLE-III
3199.63772,-0.10699999999999932,0.01,OGLE-III
3202.532,-0.06199999999999939,0.008,OGLE-III
3202.82178,-0.13400000000000034,0.009,OGLE-III
3203.67362,0.08500000000000085,0.008,OGLE-III
3204.66801,-0.054999999999999716,0.008,OGLE-III
3205.52694,0.1490000000000009,0.008,OGLE-III
3206.73225,-0.129999999999999,0.008,OGLE-III
3209.65225,-0.054999999999999716,0.008,OGLE-III
3210.65231,-0.1120000000000001,0.008,OGLE-III
3211.62274,-0.014999999999998792,0.008,OGLE-III
3217.66696,-0.051000000000000156,0.009,OGLE-III
3218.66525,0.16799999999999926,0.01,OGLE-III
3223.66647,0.08600000000000207,0.01,OGLE-III
3224.71457,0.1180000000000021,0.008,OGLE-III
3226.63646,-0.12599999999999945,0.008,OGLE-III
3228.61575,0.14700000000000202,0.01,OGLE-III
3229.64823,0.17300000000000182,0.008,OGLE-III
3230.68173,0.13400000000000034,0.008,OGLE-III
3231.58577,-0.10899999999999999,0.008,OGLE-III
3232.62222,-0.10699999999999932,0.008,OGLE-III
3238.63407,-0.0730000000000004,0.009,OGLE-III
3239.71308,-0.08900000000000041,0.008,OGLE-III
3240.4862,-0.09199999999999875,0.008,OGLE-III
3245.57006,0.11700000000000088,0.013,OGLE-III
3246.67577,0.10099999999999909,0.012,OGLE-III
3247.59492,-0.10099999999999909,0.008,OGLE-III
3249.54245,0.15899999999999892,0.009,OGLE-III
3250.67339,-0.036999999999999034,0.009,OGLE-III
3253.64265,-0.08199999999999896,0.009,OGLE-III
3256.65261,0.16100000000000136,0.01,OGLE-III
3260.56236,0.1410000000000018,0.009,OGLE-III
3265.49287,0.16799999999999926,0.011,OGLE-III
3267.5465,0.05000000000000071,0.011,OGLE-III
3272.60446,0.1410000000000018,0.009,OGLE-III
3275.49855,0.07700000000000173,0.011,OGLE-III
3278.61438,0.16600000000000037,0.009,OGLE-III
