HJD,MAG,ERR
6119.63205,15.856,0.005
6119.78017,16.057,0.007
6120.66684,16.092,0.006
6120.83444,15.561,0.006
6121.64575,15.323,0.004
6121.78753,15.833,0.005
6123.67911,16.072,0.006
6123.83220,15.363,0.004
6124.68536,15.330,0.004
6125.51410,16.149,0.007
6125.68758,15.813,0.006
6126.51138,15.693,0.006
6126.72248,16.066,0.007
6127.63740,16.112,0.007
6128.61714,15.424,0.005
6130.79906,15.489,0.005
6131.69658,15.617,0.004
6131.76987,15.831,0.005
6132.72021,16.016,0.006
6133.67973,16.084,0.006
6134.57923,16.111,0.007
6135.54860,15.375,0.006
6135.77038,16.044,0.006
6136.75864,16.098,0.008
6140.55752,16.060,0.007
6140.73073,15.426,0.007
6141.58390,15.865,0.007
6141.74948,15.847,0.007
6142.68561,15.984,0.007
6147.63619,16.193,0.007
6148.57389,15.413,0.004
6149.59406,15.910,0.006
6150.47454,15.946,0.007
6150.61541,16.105,0.007
6151.51906,16.149,0.007
6151.60982,15.403,0.005
6151.68200,15.710,0.006
6152.48637,15.455,0.005
6152.55699,15.730,0.006
6152.67032,16.013,0.006
6153.66898,16.091,0.007
6154.47825,16.060,0.007
6154.63516,15.352,0.005
6154.71241,15.689,0.005
6157.63770,15.864,0.006
6157.68352,15.403,0.005
6158.50378,15.929,0.005
6158.58126,15.549,0.005
6158.68588,15.860,0.005
6159.51539,15.767,0.007
6159.56983,15.909,0.006
6159.61737,16.010,0.006
6160.49618,16.030,0.007
6160.60700,16.101,0.006
6160.71758,15.383,0.005
6161.50356,16.167,0.007
6161.67115,15.742,0.005
6161.70326,15.823,0.006
6163.65247,16.094,0.008
6164.50543,16.096,0.007
6164.56917,16.102,0.007
6164.63923,15.468,0.005
6165.58280,15.767,0.006
6165.62452,15.863,0.006
6165.66771,15.935,0.006
6165.70020,16.018,0.007
6166.69601,16.113,0.008
6167.52885,16.096,0.009
6167.62066,15.753,0.007
6167.66912,15.436,0.006
6167.67090,15.439,0.006
6168.54791,15.478,0.004
6168.63856,15.801,0.005
6168.69013,15.916,0.006
6169.51129,15.821,0.006
6169.59897,16.011,0.006
6169.66325,16.071,0.007
6171.53979,15.362,0.004
6171.62746,15.668,0.005
6172.52641,15.755,0.005
6172.59606,15.926,0.006
6172.67952,16.068,0.007
6174.57576,15.386,0.005
6175.54721,15.720,0.006
6179.49049,15.819,0.006
6179.52696,15.904,0.007
6179.57815,16.019,0.007
6179.62163,16.065,0.007
6180.50894,16.076,0.007
6180.53771,16.097,0.007
6180.59289,16.170,0.007
6180.67368,15.390,0.006
6181.51269,15.544,0.005
6181.57953,15.557,0.005
6181.64239,15.778,0.006
6182.49598,15.726,0.005
6182.57500,15.936,0.006
6182.65614,16.077,0.007
6183.58464,16.084,0.006
6184.53575,15.972,0.006
6184.57435,15.346,0.004
6184.65453,15.713,0.006
6185.52709,15.722,0.005
6185.63471,15.995,0.006
6186.48282,15.932,0.007
6186.52727,16.023,0.007
6190.51849,16.089,0.007
6190.55086,16.109,0.006
6191.57143,15.609,0.005
6191.58943,15.679,0.006
6191.63286,15.808,0.006
6195.53374,15.798,0.005
6195.61173,15.977,0.006
6196.53162,16.057,0.007
6196.61339,16.081,0.007
6197.53301,16.187,0.007
6198.50116,15.560,0.007
6199.55360,16.033,0.008
6200.58110,16.136,0.007
6201.51205,15.433,0.006
6202.51726,15.870,0.007
6202.59281,16.018,0.009
6203.49819,16.056,0.007
6203.58444,16.157,0.007
6204.53805,15.372,0.005
6204.61480,15.705,0.006
6205.48379,15.713,0.006
6205.56089,15.899,0.006
6207.56037,15.345,0.006
6207.56238,15.349,0.006
6208.50924,15.652,0.006
6209.54611,16.005,0.007
6209.56845,16.053,0.007
6210.48596,16.082,0.008
6210.53181,16.178,0.007
6210.60463,15.344,0.005
6211.48661,15.395,0.005
6211.56295,15.729,0.005
6211.60135,15.822,0.006
6212.48363,15.861,0.007
6212.55895,16.011,0.006
6213.48848,16.034,0.007
6213.51098,16.079,0.007
6213.57923,16.195,0.007
6214.48994,15.519,0.005
6214.56535,15.609,0.006
6215.52276,15.854,0.007
6216.48733,16.052,0.008
6216.56825,16.090,0.007
6217.48887,16.186,0.007
6217.52396,15.600,0.005
6218.49892,15.692,0.006
6218.57557,15.890,0.007
6219.49274,15.999,0.007
6219.50337,16.022,0.007
6223.52399,16.096,0.008
6223.56329,16.189,0.008
6224.50952,15.440,0.006
6225.55288,15.958,0.008
6226.49601,16.057,0.007
6227.51035,15.405,0.005
6230.52161,16.058,0.009
6231.49593,15.642,0.007
6232.49393,15.995,0.013
6232.49761,15.982,0.010
6233.49624,16.094,0.012
6233.52263,16.134,0.008
6234.50051,15.499,0.006
6235.50303,15.920,0.007
6237.50123,15.332,0.006
6238.50500,15.826,0.007
6239.50707,16.056,0.009
6334.86374,15.922,0.006
6335.84818,16.073,0.007
6337.89331,15.892,0.006
6338.87310,16.061,0.006
6340.84375,15.663,0.005
6341.88130,16.067,0.007
6343.84614,15.509,0.005
6344.85917,15.932,0.005
6345.87842,16.102,0.006
6347.88117,15.915,0.006
6348.87857,16.083,0.006
6349.88626,15.341,0.005
6350.89791,15.868,0.006
6351.90406,16.090,0.007
6352.89526,15.712,0.005
6353.88390,15.735,0.005
6354.88853,16.038,0.006
6360.79818,15.655,0.005
6360.88315,15.878,0.005
6361.85854,16.061,0.006
6362.80658,16.110,0.007
6362.89534,15.329,0.004
6363.86793,15.751,0.005
6367.87166,15.976,0.005
6368.80913,16.063,0.006
6368.90155,16.167,0.006
6369.84236,15.329,0.004
6370.79453,15.692,0.005
6370.88656,15.933,0.006
6371.80807,16.035,0.006
6371.89908,16.082,0.005
6372.81034,16.182,0.006
6372.89260,15.379,0.004
6373.82727,15.683,0.005
6373.90628,15.903,0.006
6374.83350,16.030,0.006
6374.91454,16.043,0.006
6375.84850,16.180,0.006
6376.75611,15.827,0.006
6376.84460,15.615,0.005
6377.75454,15.732,0.005
6377.85636,15.996,0.005
6378.76367,16.063,0.006
6378.85142,16.086,0.006
6379.75134,16.180,0.007
6379.83828,15.408,0.004
6380.75111,15.616,0.005
6380.85274,15.905,0.005
6381.77181,16.033,0.006
6381.85969,16.072,0.006
6382.76624,16.109,0.007
6382.84383,15.437,0.005
6386.75934,15.317,0.004
6386.85865,15.719,0.005
6387.74819,15.777,0.005
6387.83099,15.986,0.006
6387.91453,16.072,0.007
6388.74807,16.069,0.007
6388.85920,16.164,0.006
6388.87530,16.200,0.006
6389.75092,16.203,0.007
6389.84000,15.513,0.004
6389.92297,15.806,0.006
6390.78775,15.801,0.005
6390.87228,15.998,0.006
6391.79580,16.055,0.007
6393.79364,15.710,0.006
6394.74812,15.913,0.006
6395.71309,16.064,0.007
6395.89102,15.393,0.004
6396.85072,15.759,0.005
6397.78782,15.938,0.005
6398.70586,16.027,0.006
6398.88654,15.761,0.005
6399.80798,15.469,0.004
6400.76088,15.782,0.005
6401.72333,15.998,0.006
6401.90169,16.175,0.006
6402.82692,15.363,0.004
6403.73599,15.568,0.004
6403.91738,16.028,0.006
6404.84521,16.071,0.006
6405.82581,15.864,0.005
6405.86214,15.343,0.004
6406.87843,15.878,0.006
6407.79034,15.985,0.006
6408.74488,16.070,0.007
6409.84371,15.694,0.006
6415.80417,15.911,0.006
6416.69054,15.371,0.005
6416.90746,15.997,0.005
6417.80131,16.047,0.006
6418.66356,16.045,0.006
6418.82613,16.162,0.006
6419.71240,15.794,0.005
6419.88822,15.854,0.006
6420.73003,15.798,0.005
6420.91339,16.080,0.006
6422.68595,16.107,0.006
6423.64813,15.338,0.005
6423.85574,16.004,0.006
6424.69659,15.953,0.006
6424.89178,16.207,0.005
6426.80420,15.806,0.005
6427.93271,16.181,0.006
6428.78790,16.206,0.007
6431.78827,16.103,0.006
6432.64272,16.111,0.007
6432.81083,15.584,0.005
6433.61510,15.344,0.005
6433.79773,15.928,0.006
6434.69950,16.000,0.006
6434.88986,16.054,0.006
6435.74006,16.209,0.007
6435.91894,15.799,0.005
6436.71837,15.586,0.005
6436.90605,16.050,0.006
6437.84188,16.081,0.007
6441.70195,16.070,0.007
6441.76507,16.070,0.007
6441.94777,15.700,0.007
6442.72888,15.318,0.004
6442.90320,15.912,0.006
6443.65658,15.568,0.004
6444.72584,16.070,0.006
6444.73579,16.068,0.007
6444.93405,15.458,0.005
6445.74778,15.749,0.005
6445.94802,15.952,0.008
6446.72664,15.700,0.005
6446.93183,16.072,0.006
6447.69854,15.965,0.006
6447.87594,16.168,0.006
6448.63845,16.056,0.006
6448.82408,15.390,0.004
6449.59753,16.136,0.006
6449.78362,15.757,0.005
6450.56368,15.412,0.005
6450.73308,15.952,0.005
6450.90233,16.163,0.007
6451.66409,16.062,0.006
6451.84971,15.339,0.004
6452.62823,16.107,0.006
6452.86373,15.857,0.005
6454.63786,15.964,0.006
6454.82284,16.191,0.007
6455.60232,16.072,0.006
6456.60399,15.489,0.004
6456.79037,15.918,0.005
6457.76368,16.070,0.006
6458.54882,15.962,0.007
6458.72256,16.191,0.007
6458.89962,15.790,0.006
6459.66649,15.361,0.004
6459.85535,15.966,0.006
6460.72169,15.994,0.005
6461.61202,16.025,0.006
6461.82381,15.324,0.004
6462.69129,15.308,0.004
6463.55381,15.340,0.005
6463.74323,15.940,0.006
6464.56229,15.818,0.007
6464.74169,16.084,0.007
6468.54713,16.012,0.007
6468.74242,15.802,0.006
6469.61086,15.772,0.005
6469.83102,15.967,0.007
6472.79051,15.786,0.006
6473.56615,15.442,0.005
6473.75176,16.010,0.006
6474.51066,15.752,0.006
6474.68463,16.059,0.006
6474.86671,15.453,0.005
6475.67081,16.119,0.006
6475.84439,15.829,0.006
6476.61058,15.479,0.005
6476.79871,16.030,0.006
6477.60392,15.891,0.006
6477.79191,16.113,0.007
6478.65369,16.104,0.007
6480.61769,15.824,0.006
6480.80259,16.066,0.007
6481.62878,16.058,0.006
6482.78857,15.823,0.007
6484.52378,15.824,0.006
6485.60319,16.127,0.006
6485.82351,15.838,0.005
6486.56278,15.341,0.004
6486.77188,16.014,0.006
6487.56244,15.840,0.005
6487.76086,16.082,0.005
6490.63942,15.914,0.006
6491.48550,15.873,0.006
6491.70516,16.167,0.006
6492.51906,16.090,0.007
6492.71493,15.694,0.005
6496.54264,15.342,0.005
6497.63807,16.050,0.007
6498.47149,15.967,0.005
6498.65175,16.197,0.006
6499.48575,16.093,0.007
6500.61062,15.910,0.007
6501.62211,16.090,0.006
6501.78955,15.535,0.006
6505.53704,16.091,0.007
6505.73679,15.700,0.005
6506.66466,15.848,0.006
6507.72520,16.073,0.007
6508.63394,16.200,0.006
6509.54758,15.342,0.004
6509.72535,15.930,0.006
6510.61546,15.958,0.005
6511.54711,16.070,0.007
6512.72443,15.819,0.006
6514.67708,16.115,0.006
6515.62847,15.325,0.004
6516.62012,15.803,0.005
6518.63272,16.029,0.006
6519.58555,15.564,0.005
6523.51804,15.668,0.005
